Category,Reference,Text
Hope,Jeremiah 29:11,"For I know the plans I have for you,� declares the Lord , �plans to prosper you and not to harm you, plans to give you hope and a future. Read full chapter Cross references Jeremiah 29:11 : Ps 40:5 Jeremiah 29:11 : Isa 55:12 Jeremiah 29:11 : S Job 8:7; Zec 8:15 Jeremiah 29:11 in all English translations"
Hope,Romans 15:13,"May the God of hope fill you with all joy and peace as you trust in him, so that you may overflow with hope by the power of the Holy Spirit. Read full chapter Cross references Romans 15:13 : Ro 14:17 Romans 15:13 : ver 19; 1Co 2:4; 4:20; 1Th 1:5 Romans 15:13 in all English translations"
Hope,Isaiah 40:31,"but those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint. Read full chapter Cross references Isaiah 40:31 : S Ps 37:9; 40:1; S Isa 30:18; Lk 18:1 Isaiah 40:31 : S 1Sa 2:4; S 2Ki 6:33; S 2Co 4:16 Isaiah 40:31 : S Ex 19:4 Isaiah 40:31 : 2Co 4:1; Heb 12:1-3 Isaiah 40:31 in all English translations"
Hope,Lamentations 3:22-23,"Because of the Lord �s great love we are not consumed, for his compassions never fail. They are new every morning; great is your faithfulness. Read full chapter Cross references Lamentations 3:22 : S Ps 103:11 Lamentations 3:22 : S Job 34:15; S Hos 11:9 Lamentations 3:22 : Ps 78:38; 130:7 Lamentations 3:23 : S Ex 34:6; Zep 3:5"
Hope,Psalm 33:18,"But the eyes of the Lord are on those who fear him, on those whose hope is in his unfailing love, Read full chapter Cross references Psalm 33:18 : S Ex 3:16; S Ps 11:4; 1Pe 3:12 Psalm 33:18 : S Ps 6:4 Psalm 33:18 in all English translations"
Hope,Proverbs 23:18,"There is surely a future hope for you, and your hope will not be cut off. Read full chapter Cross references Proverbs 23:18 : S Ps 9:18; 37:1-4; Pr 24:14, 19-20 Proverbs 23:18 in all English translations"
Hope,Romans 8:24-25,"For in this hope we were saved. But hope that is seen is no hope at all. Who hopes for what they already have? But if we hope for what we do not yet have, we wait for it patiently. Read full chapter Cross references Romans 8:24 : 1Th 5:8; Tit 3:7 Romans 8:24 : S 2Co 4:18 Romans 8:25 : Ps 37:7"
Hope,Hebrews 10:23,"Let us hold unswervingly to the hope we profess, for he who promised is faithful. Read full chapter Cross references Hebrews 10:23 : S Heb 3:6 Hebrews 10:23 : S Heb 3:1 Hebrews 10:23 : S 1Co 1:9 Hebrews 10:23 in all English translations"
Hope,Psalm 130:5,"I wait for the Lord , my whole being waits, and in his word I put my hope. Read full chapter Cross references Psalm 130:5 : S Ps 27:14; Isa 8:17; 26:8; 30:18; 49:23 Psalm 130:5 : S Ps 5:3 Psalm 130:5 : S Ps 119:74 Psalm 130:5 in all English translations"
Hope,Titus 2:13,"while we wait for the blessed hope�the appearing of the glory of our great God and Savior, Jesus Christ, Read full chapter Cross references Titus 2:13 : S 1Co 1:7; S 1Ti 6:14 Titus 2:13 : 2Pe 1:1 Titus 2:13 in all English translations"
Hope,Psalm 42:5,"Why, my soul, are you downcast? Why so disturbed within me? Put your hope in God, for I will yet praise him, my Savior and my God. Read full chapter Cross references Psalm 42:5 : Ps 38:6; 77:3; La 3:20; Mt 26:38 Psalm 42:5 : S Job 20:2 Psalm 42:5 : S Ps 25:5; S 71:14 Psalm 42:5 : Ps 9:1 Psalm 42:5 : Ps 18:46 Psalm 42:5 : ver 11; Ps 43:5 Psalm 42:5 in all English translations"
Hope,1 Thessalonians 5:8,"But since we belong to the day, let us be sober, putting on faith and love as a breastplate, and the hope of salvation as a helmet. Read full chapter Cross references 1 Thessalonians 5:8 : ver 5 1 Thessalonians 5:8 : S Eph 6:14 1 Thessalonians 5:8 : Ro 8:24 1 Thessalonians 5:8 : Isa 59:17; Eph 6:17 1 Thessalonians 5:8 in all English translations"
Hope,Micah 7:7,"But as for me, I watch in hope for the Lord , I wait for God my Savior; my God will hear me. Read full chapter Cross references Micah 7:7 : S Isa 21:8 Micah 7:7 : Ps 130:5; Isa 25:9 Micah 7:7 : S Ps 4:3 Micah 7:7 in all English translations"
Hope,Ephesians 1:18,"I pray that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you, the riches of his glorious inheritance in his holy people, Read full chapter Cross references Ephesians 1:18 : Job 42:5; 2Co 4:6; Heb 6:4 Ephesians 1:18 : S Ro 8:28 Ephesians 1:18 : ver 7; S Ro 2:4 Ephesians 1:18 : ver 11 Ephesians 1:18 : Col 1:12 Ephesians 1:18 in all English translations"
Hope,Isaiah 41:10,"So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand. Read full chapter Cross references Isaiah 41:10 : S Ge 15:1 Isaiah 41:10 : S Dt 3:22; Jos 1:9; Isa 43:2, 5; Jer 30:10; 46:27-28; Ro 8:31 Isaiah 41:10 : S Ps 68:35; S 119:28 Isaiah 41:10 : ver 13-14; Isa 44:2; 49:8; 50:7, 9 Isaiah 41:10 : S Ps 18:35; S 119:117 Isaiah 41:10 : S Ex 3:20; S Job 40:14 Isaiah 41:10 in all English translations"
Hope,Psalm 119:114,You are my refuge and my shield; I have put my hope in your word. Read full chapter Cross references Psalm 119:114 : S Ge 15:1; S Ps 18:2 Psalm 119:114 : S ver 43 Psalm 119:114 in all English translations
Hope,Job 11:18,"You will be secure, because there is hope; you will look about you and take your rest in safety. Read full chapter Cross references Job 11:18 : Ps 3:5; 4:8; 127:2; Ecc 5:12 Job 11:18 : S Lev 26:6; Pr 3:24; Isa 11:10; 14:3; 28:12; 30:15; 32:18; Zec 3:10 Job 11:18 in all English translations"
Hope,Romans 5:5,"And hope does not put us to shame, because God�s love has been poured out into our hearts through the Holy Spirit, who has been given to us. Read full chapter Cross references Romans 5:5 : Php 1:20; S Heb 3:6; 1Jn 3:2, 3 Romans 5:5 : ver 8; Jn 3:16; Ro 8:39 Romans 5:5 : Ac 2:33; 10:45; Tit 3:5, 6 Romans 5:5 in all English translations"
Hope,1 Peter 1:3,"Praise to God for a Living Hope Praise be to the God and Father of our Lord Jesus Christ! In his great mercy he has given us new birth into a living hope through the resurrection of Jesus Christ from the dead, Read full chapter Cross references 1 Peter 1:3 : 2Co 1:3; Eph 1:3 1 Peter 1:3 : Tit 3:5 1 Peter 1:3 : ver 23; S Jn 1:13 1 Peter 1:3 : ver 13, 21; S Heb 3:6 1 Peter 1:3 : 1Co 15:20; 1Pe 3:21 1 Peter 1:3 in all English translations"
Hope,Zephaniah 3:17,"The Lord your God is with you, the Mighty Warrior who saves. He will take great delight in you; in his love he will no longer rebuke you, but will rejoice over you with singing.� Read full chapter Cross references Zephaniah 3:17 : S Isa 63:1; S Joel 2:21 Zephaniah 3:17 : S Dt 28:63; S Isa 62:4 Zephaniah 3:17 : S Hos 14:4 Zephaniah 3:17 : S Isa 40:1 Zephaniah 3:17 in all English translations"
Hope,Psalm 31:24,"Be strong and take heart, all you who hope in the Lord . Read full chapter Cross references Psalm 31:24 : Ps 27:14 Psalm 31:24 in all English translations"
Hope,Hebrews 6:19,"We have this hope as an anchor for the soul, firm and secure. It enters the inner sanctuary behind the curtain, Read full chapter Cross references Hebrews 6:19 : Lev 16:2; Heb 9:2, 3, 7 Hebrews 6:19 in all English translations"
Hope,Colossians 1:27,"To them God has chosen to make known among the Gentiles the glorious riches of this mystery, which is Christ in you, the hope of glory. Read full chapter Cross references Colossians 1:27 : S Mt 13:11 Colossians 1:27 : S Ro 2:4 Colossians 1:27 : S Ro 8:10 Colossians 1:27 in all English translations"
Hope,2 Thessalonians 2:16,"May our Lord Jesus Christ himself and God our Father, who loved us and by his grace gave us eternal encouragement and good hope, Read full chapter Cross references 2 Thessalonians 2:16 : S Php 4:20 2 Thessalonians 2:16 : S Jn 3:16 2 Thessalonians 2:16 in all English translations"
Hope,Pslam 27:13-14,"""I remain confident of this: I will see the goodness of the Lord in the land of the living. Wait for the Lord; be strong and take heart and wait for the Lord."""
Hope,1 Peter 1:13,"Be Holy Therefore, with minds that are alert and fully sober, set your hope on the grace to be brought to you when Jesus Christ is revealed at his coming. Read full chapter Cross references 1 Peter 1:13 : S Ac 24:25 1 Peter 1:13 : ver 3, 21; S Heb 3:6 1 Peter 1:13 : ver 10 1 Peter 1:13 : ver 7; S 1Co 1:7 1 Peter 1:13 in all English translations"
Hope,2 Corinthians 4:17-18,"For our light and momentary troubles are achieving for us an eternal glory that far outweighs them all. So we fix our eyes not on what is seen, but on what is unseen, since what is seen is temporary, but what is unseen is eternal. Read full chapter Cross references 2 Corinthians 4:17 : Ps 30:5; Ro 8:18; 1Pe 1:6, 7 2 Corinthians 4:18 : 2Co 5:7; Ro 8:24; Heb 11:1"
Hope,Revelation 21:4,"�He will wipe every tear from their eyes. There will be no more death� or mourning or crying or pain, for the old order of things has passed away.� Read full chapter Footnotes Revelation 21:4 Isaiah 25:8 Cross references Revelation 21:4 : S Rev 7:17 Revelation 21:4 : Isa 25:8; 1Co 15:26; Rev 20:14 Revelation 21:4 : Isa 35:10; 65:19 Revelation 21:4 : S 2Co 5:17 Revelation 21:4 in all English translations"
Hope,Psalm 71:5,"For you have been my hope, Sovereign Lord , my confidence since my youth. Read full chapter Cross references Psalm 71:5 : S Ps 9:18; S 25:5 Psalm 71:5 : S Job 4:6; Jer 17:7 Psalm 71:5 in all English translations"
Hope,John 16:33,"�I have told you these things, so that in me you may have peace. In this world you will have trouble. But take heart! I have overcome the world.� Read full chapter Cross references John 16:33 : S Jn 14:27 John 16:33 : Jn 15:18-21 John 16:33 : Ro 8:37; 1Jn 4:4; 5:4; Rev 2:7, 11, 17, 26; 3:5, 12, 21; 21:7 John 16:33 in all English translations"
Hope,Isaiah 26:3,"You will keep in perfect peace those whose minds are steadfast, because they trust in you. Read full chapter Cross references Isaiah 26:3 : S Job 22:21; S Isa 9:6, 7; Php 4:7 Isaiah 26:3 : S 1Ch 5:20; S Ps 22:5; S 28:7; S Isa 12:2 Isaiah 26:3 in all English translations"
Hope,Acts 2:26,"Therefore my heart is glad and my tongue rejoices; my body also will rest in hope, Read full chapter Acts 2:26 in all English translations"
Hope,Psalm 9:18,But God will never forget the needy; the hope of the afflicted will never perish. Read full chapter Cross references Psalm 9:18 : Ps 25:3; 39:7; 71:5; Pr 23:18; Jer 14:8 Psalm 9:18 : ver 12; Ps 74:19 Psalm 9:18 in all English translations
Hope,Luke 1:37,For no word from God will ever fail.� Read full chapter Cross references Luke 1:37 : S Mt 19:26 Luke 1:37 in all English translations
Hope,Isaiah 43:2,"When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned; the flames will not set you ablaze. Read full chapter Cross references Isaiah 43:2 : S Isa 8:7 Isaiah 43:2 : S Ge 26:3; S Ex 14:22 Isaiah 43:2 : Isa 29:6; 30:27 Isaiah 43:2 : Ps 66:12; Da 3:25-27 Isaiah 43:2 in all English translations"
Hope,Romans 12:12,"Be joyful in hope, patient in affliction, faithful in prayer. Read full chapter Cross references Romans 12:12 : Ro 5:2 Romans 12:12 : Heb 10:32, 36 Romans 12:12 : S Lk 18:1 Romans 12:12 in all English translations"
Hope,Galatians 6:9,"Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up. Read full chapter Cross references Galatians 6:9 : 1Co 15:58; 2Co 4:1 Galatians 6:9 : Job 42:12; Ps 126:5; Heb 12:3; Rev 2:10 Galatians 6:9 in all English translations"
Hope,Psalm 62:5,"Yes, my soul, find rest in God; my hope comes from him. Read full chapter Cross references Psalm 62:5 : ver 1 Psalm 62:5 in all English translations"
Hope,Lamentations 3:24,"I say to myself, �The Lord is my portion; therefore I will wait for him.� Read full chapter Cross references Lamentations 3:24 : S Ps 119:57 Lamentations 3:24 in all English translations"
Hope,Deuteronomy 31:6,"Be strong and courageous. Do not be afraid or terrified because of them, for the Lord your God goes with you; he will never leave you nor forsake you.� Read full chapter Cross references Deuteronomy 31:6 : ver 7, 23; Jos 1:6, 9, 18; 10:25; 1Ch 22:13; 28:20; 2Ch 32:7 Deuteronomy 31:6 : Jer 1:8, 17; Eze 2:6 Deuteronomy 31:6 : S Ge 28:15; S Dt 1:29; 20:4; S Mt 28:20 Deuteronomy 31:6 : Ps 56:9; 118:6 Deuteronomy 31:6 : S Dt 4:31; 1Sa 12:22; 1Ki 6:13; Ps 94:14; Isa 41:17; Heb 13:5* Deuteronomy 31:6 in all English translations"
Hope,Proverbs 24:14,"Know also that wisdom is like honey for you: If you find it, there is a future hope for you, and your hope will not be cut off. Read full chapter Cross references Proverbs 24:14 : Ps 119:103; Pr 16:24; 23:18 Proverbs 24:14 in all English translations"
Hope,Titus 3:7,"so that, having been justified by his grace, we might become heirs having the hope of eternal life. Read full chapter Cross references Titus 3:7 : S Ro 3:24 Titus 3:7 : S Ro 8:17 Titus 3:7 : Ro 8:24 Titus 3:7 : S Mt 25:46; Tit 1:2 Titus 3:7 in all English translations"
Hope,Psalm 146:5,"Blessed are those whose help is the God of Jacob, whose hope is in the Lord their God. Read full chapter Cross references Psalm 146:5 : Ps 33:18; 37:9; 119:43; 144:15; Jer 17:7 Psalm 146:5 : Ps 70:5; 71:5; 121:2 Psalm 146:5 in all English translations"
Hope,2 Corinthians 1:10,"He has delivered us from such a deadly peril, and he will deliver us again. On him we have set our hope that he will continue to deliver us, Read full chapter Cross references 2 Corinthians 1:10 : S Ro 15:31 2 Corinthians 1:10 : 1Ti 4:10 2 Corinthians 1:10 in all English translations"
Hope,Pslam 37:39-40,"""The salvation of the righteous comes from the Lord; he is their stronghold in time of trouble. The Lord helps them and delivers them; he delivers them from the wicked and saves them, because they take refuge in him."""
Hope,John 14:27,Peace I leave with you; my peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled and do not be afraid. Read full chapter Cross references John 14:27 : Nu 6:26; Ps 85:8; Mal 2:6; S Lk 2:14; 24:36; Jn 16:33; Php 4:7; Col 3:15 John 14:27 : ver 1 John 14:27 in all English translations
Hope,Isaiah 12:2,"Surely God is my salvation; I will trust and not be afraid. The Lord , the Lord himself, is my strength and my defense ; he has become my salvation. � Read full chapter Footnotes Isaiah 12:2 Or song Cross references Isaiah 12:2 : Isa 17:10; 25:9; 33:6; 45:17; 51:5, 6; 54:8; 59:16; 61:10; 62:11 Isaiah 12:2 : S Job 13:15; S Ps 26:1; S 112:7; Isa 26:3; Da 6:23 Isaiah 12:2 : Isa 26:4; 38:11 Isaiah 12:2 : S Ps 18:1 Isaiah 12:2 : S Ex 15:2 Isaiah 12:2 in all English translations"
Hope,1 Peter 5:10,"And the God of all grace, who called you to his eternal glory in Christ, after you have suffered a little while, will himself restore you and make you strong, firm and steadfast. Read full chapter Cross references 1 Peter 5:10 : S Ro 8:28 1 Peter 5:10 : 2Co 4:17; 2Ti 2:10 1 Peter 5:10 : 1Pe 1:6 1 Peter 5:10 : Ps 18:32; 2Th 2:17 1 Peter 5:10 in all English translations"
Hope,Romans 15:4,"For everything that was written in the past was written to teach us, so that through the endurance taught in the Scriptures and the encouragement they provide we might have hope. Read full chapter Cross references Romans 15:4 : S Ro 4:23, 24 Romans 15:4 in all English translations"
Hope,Pslam 147:11,"""The Lord delights in those who fear him, who put their hope in his unfailing love."""
Hope,1 Thessalonians 1:3,"We remember before our God and Father your work produced by faith, your labor prompted by love, and your endurance inspired by hope in our Lord Jesus Christ. Read full chapter Cross references 1 Thessalonians 1:3 : S Php 4:20 1 Thessalonians 1:3 : Gal 5:6; 2Th 1:11; Jas 2:14-26 1 Thessalonians 1:3 : 1Th 3:6; 2Th 1:3; S 1Co 13:13 1 Thessalonians 1:3 : Ro 8:25 1 Thessalonians 1:3 in all English translations"
Motivation,Philippians 4:13,I can do all this through him who gives me strength. Read full chapter Cross references Philippians 4:13 : 2Co 12:9; Eph 3:16; Col 1:11; 1Ti 1:12; 2Ti 4:17 Philippians 4:13 in all English translations
Motivation,Hebrews 12:1-2,"Therefore, since we are surrounded by such a great cloud of witnesses, let us throw off everything that hinders and the sin that so easily entangles. And let us run with perseverance the race marked out for us, fixing our eyes on Jesus, the pioneer and perfecter of faith. For the joy set before him he endured the cross, scorning its shame, and sat down at the right hand of the throne of God. Read full chapter Cross references Hebrews 12:1 : S 1Co 9:24 Hebrews 12:1 : S Heb 10:36 Hebrews 12:2 : Ps 25:15 Hebrews 12:2 : Heb 2:10 Hebrews 12:2 : Php 2:8, 9; Heb 2:9 Hebrews 12:2 : Heb 13:13 Hebrews 12:2 : S Mk 16:19"
Motivation,2 Timothy 1:7,"For the Spirit God gave us does not make us timid, but gives us power, love and self-discipline. Read full chapter Cross references 2 Timothy 1:7 : Jer 42:11; Ro 8:15; 1Co 16:10, 11; 1Ti 4:12; Heb 2:15 2 Timothy 1:7 : Isa 11:2 2 Timothy 1:7 in all English translations"
Motivation,1 Corinthians 15:58,"Therefore, my dear brothers and sisters, stand firm. Let nothing move you. Always give yourselves fully to the work of the Lord, because you know that your labor in the Lord is not in vain. Read full chapter Cross references 1 Corinthians 15:58 : 1Co 16:10 1 Corinthians 15:58 : Isa 65:23 1 Corinthians 15:58 in all English translations"
Motivation,Galatians 6:9,"Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up. Read full chapter Cross references Galatians 6:9 : 1Co 15:58; 2Co 4:1 Galatians 6:9 : Job 42:12; Ps 126:5; Heb 12:3; Rev 2:10 Galatians 6:9 in all English translations"
Motivation,Joshua 1:9,"Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.� Read full chapter Cross references Joshua 1:9 : S Dt 31:6; Jos 10:8; 2Ki 19:6; Isa 35:4; 37:6 Joshua 1:9 : S Dt 1:21; Job 4:5 Joshua 1:9 : S ver 7; Dt 31:7-8; Jer 1:8 Joshua 1:9 in all English translations"
Motivation,Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord, not for human masters, Read full chapter Colossians 3:23 in all English translations"
Motivation,Romans 8:31,"More Than Conquerors What, then, shall we say in response to these things? If God is for us, who can be against us? Read full chapter Cross references Romans 8:31 : Ro 4:1; 6:1; 7:7; 9:14, 30 Romans 8:31 : Ex 3:12; Isa 41:10; Hag 1:13 Romans 8:31 : Ps 56:9; 118:6; Isa 8:10; Jer 20:11; Heb 13:6 Romans 8:31 in all English translations"
Motivation,Ephesians 6:10,"The Armor of God Finally, be strong in the Lord and in his mighty power. Read full chapter Cross references Ephesians 6:10 : 2Sa 10:12; Ps 27:14; Hag 2:4; 1Co 16:13; 2Ti 2:1 Ephesians 6:10 : Eph 1:19 Ephesians 6:10 in all English translations"
Motivation,Proverbs 3:5-6,"Trust in the Lord with all your heart and lean not on your own understanding; in all your ways submit to him, and he will make your paths straight. Read full chapter Footnotes Proverbs 3:6 Or will direct your paths Cross references Proverbs 3:5 : S Ps 4:5 Proverbs 3:6 : S Job 33:11; S Isa 30:11 Proverbs 3:6 : Ps 5:8; Pr 16:3; Isa 40:3; Jer 42:3"
Motivation,1 Corinthians 9:24,"The Need for Self-Discipline Do you not know that in a race all the runners run, but only one gets the prize? Run in such a way as to get the prize. Read full chapter Cross references 1 Corinthians 9:24 : Php 3:14; Col 2:18 1 Corinthians 9:24 : ver 25, 26; Gal 2:2; 5:7; Php 2:16; 2Ti 4:7; Heb 12:1 1 Corinthians 9:24 in all English translations"
Motivation,Psalm 28:7,"The Lord is my strength and my shield; my heart trusts in him, and he helps me. My heart leaps for joy, and with my song I praise him. Read full chapter Cross references Psalm 28:7 : S Ps 18:1 Psalm 28:7 : Ps 13:5; 112:7; Isa 26:3 Psalm 28:7 : S Dt 16:15; S Ps 16:9 Psalm 28:7 : Ps 33:3; 40:3; 69:30; 144:9; 149:1 Psalm 28:7 in all English translations"
Motivation,Romans 12:11,"Never be lacking in zeal, but keep your spiritual fervor, serving the Lord. Read full chapter Cross references Romans 12:11 : Ac 18:25 Romans 12:11 in all English translations"
Motivation,Psalm 18:32,It is God who arms me with strength and keeps my way secure. Read full chapter Cross references Psalm 18:32 : S ver 29; 1Pe 5:10 Psalm 18:32 : S Ps 15:2; 19:13; Heb 10:14; Jas 3:2 Psalm 18:32 in all English translations
Motivation,Isaiah 41:10,"So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand. Read full chapter Cross references Isaiah 41:10 : S Ge 15:1 Isaiah 41:10 : S Dt 3:22; Jos 1:9; Isa 43:2, 5; Jer 30:10; 46:27-28; Ro 8:31 Isaiah 41:10 : S Ps 68:35; S 119:28 Isaiah 41:10 : ver 13-14; Isa 44:2; 49:8; 50:7, 9 Isaiah 41:10 : S Ps 18:35; S 119:117 Isaiah 41:10 : S Ex 3:20; S Job 40:14 Isaiah 41:10 in all English translations"
Motivation,John 16:33,"�I have told you these things, so that in me you may have peace. In this world you will have trouble. But take heart! I have overcome the world.� Read full chapter Cross references John 16:33 : S Jn 14:27 John 16:33 : Jn 15:18-21 John 16:33 : Ro 8:37; 1Jn 4:4; 5:4; Rev 2:7, 11, 17, 26; 3:5, 12, 21; 21:7 John 16:33 in all English translations"
Motivation,James 1:12,"Blessed is the one who perseveres under trial because, having stood the test, that person will receive the crown of life that the Lord has promised to those who love him. Read full chapter Cross references James 1:12 : ver 2; Ge 22:1; Jas 5:11; 1Pe 3:14 James 1:12 : S 1Co 9:25 James 1:12 : Ex 20:6; 1Co 2:9; 8:3; Jas 2:5 James 1:12 in all English translations"
Motivation,Proverbs 4:25-27,Let your eyes look straight ahead; fix your gaze directly before you. Give careful thought to the paths for your feet and be steadfast in all your ways. Do not turn to the right or the left; keep your foot from evil. Read full chapter Footnotes Proverbs 4:26 Or Make level Cross references Proverbs 4:25 : S Job 31:1 Proverbs 4:26 : Heb 12:13* Proverbs 4:27 : S Lev 10:11; S Dt 5:32
